issue_id,state,user,duration_time,closed_at,created_at,comments_num
1, closed, user0,166252,1428336934,1428170682,2
2, closed, user0,2328305,1426107702,1423779397,3
3, closed, user0,1012209,1424987549,1423975340,3
4, closed, user0,2087830,1426107745,1424019915,2
5, closed, user0,82098,1424102086,1424019988,1
6, closed, user0,2072034,1426107779,1424035745,0
7, closed, user0,3018518,1427054347,1424035829,3
8, closed,user1,2007166,1426107868,1424100702,1
9, closed,user1,5370,1424107429,1424102059,1
10, closed,user1,1555,1424106062,1424104507,2
11, closed,user2,795809,1424901863,1424106054,1
12, closed,user1,794524,1424901839,1424107315,1
13, closed, user0,878029,1424987476,1424109447,1
14, closed, user0,1997961,1426107886,1424109925,2
15, closed, user0,1997849,1426107916,1424110067,1
16, closed,user2,190791,1424300898,1424110107,1
17, closed, user0,1997189,1426107932,1424110743,1
18, closed,user1,1995992,1426107941,1424111949,2
19, closed, user0,1995942,1426107963,1424112021,1
20, closed,user2,874651,1424987077,1424112426,1
21, closed,user1,520847,1424667679,1424146832,1
22, closed, user0,438020,1424641710,1424203690,3
23, closed,user1,2937,1424300731,1424297794,1
24, closed,user1,410599,1424711754,1424301155,5
25, closed,user1,244774,1424627983,1424383209,2
26, closed, user0,167932,1424641742,1424473810,1
27, closed,user1,69812,1424711656,1424641844,0
28, closed,user1,65762,1424707746,1424641984,2
29, closed,user1,274090,1424986063,1424711973,3
30, closed, user0,1313615,1426211598,1424897983,2
31, closed, user0,1307063,1426211636,1424904573,3
32, closed, user0,46371,1424970486,1424924115,1
33, closed, user0,1285860,1426211651,1424925791,2
34, closed, user0,1224321,1426211710,1424987389,2
35, closed, user0,1806161,1427054409,1425248248,2
36, closed, user0,1709259,1427054433,1425345174,2
37, closed,user2,1655536,1427054568,1425399032,3
38, closed, user0,794363,1426211791,1425417428,2
39, closed, user0,454158,1426211760,1425757602,4
40, closed, user0,1092175,1427054666,1425962491,1
41, closed, user0,1037100,1427248965,1426211865,12
42, closed, user0,836874,1427054869,1426217995,1
43, closed, user0,835102,1427053883,1426218781,1
44, closed, user0,965432,1427249115,1426283683,3
45, closed, user0,661319,1427054769,1426393450,1
46, closed, user0,117642,1427249153,1427131511,2
47, closed, user0,237020,1427492192,1427255172,1
48, closed, user0,236807,1427492161,1427255354,1
49, closed, user0,21101,1427330025,1427308924,1
50, closed, user0,266086,1427577414,1427311328,1
51, closed, user0,266015,1427577383,1427311368,1
52, closed, user0,394622,1428157716,1427763094,4
53, closed, user0,440278,1428203686,1427763408,0
54, closed, user0,104484,1427938881,1427834397,1
55, closed, user0,371162,1428205644,1427834482,1
56, closed, user0,268173,1428205770,1427937597,0
57, closed, user0,171637,1428329667,1428158030,2
58, closed, user0,178076,1428336885,1428158809,0
