issue_id,state,user,duration_time,closed_at,created_at,comments_num
1, closed, user0,14143,1428367982,1428353839,2
2, closed, user0,452566,1424060565,1423607999,0
3, closed, user1,2117,1423948123,1423946006,4
4, closed, user1,118312,1424065750,1423947438,0
5, closed, user1,692389,1424640885,1423948496,0
6, closed, user2,1443489,1425393538,1423950049,1
7, closed, user0,1340439,1425393555,1424053116,5
8, closed, user0,1339892,1425393503,1424053611,5
9, closed, user0,4900,1424060538,1424055638,1
10, closed, user0,330655,1424386447,1424055792,0
11, closed, user3,1240,1424057528,1424056288,3
12, closed, user0,261292,1424640840,1424379548,0
13, closed, user0,3998953,1428378593,1424379640,0
14, closed, user0,3811513,1428195921,1424384408,0
15, closed, user0,195055,1424640587,1424445532,0
16, closed, user0,947929,1425393572,1424445643,0
17, closed, user0,220160,1424665870,1424445710,3
18, closed, user0,847199,1425393441,1424546242,9
19, closed, user3,57,1424641079,1424641022,0
20, closed, user0,727599,1425393562,1424665963,3
21, closed, user2,260,1424736582,1424736322,0
22, closed, user3,656970,1425393433,1424736463,0
23, closed, user1,609779,1425419955,1424810176,0
24, closed, user0,3375203,1428195938,1424820735,2
25, closed, user0,572373,1425393451,1424821078,1
26, closed, user3,563915,1425393420,1424829505,0
27, closed, user3,3365954,1428195890,1424829936,2
28, closed, user3,2665954,1428345789,1425679835,0
29, closed, user2,1289566,1428378599,1427089033,3
30, closed, user0,235200,1427837142,1427601942,1
31, closed, user3,44567,1428073615,1428029048,1
32, closed, user0,300288,1428375185,1428074897,1
33, closed, user0,12363,1428208216,1428195853,0
34, closed, user0,148989,1428345553,1428196564,0
35, closed, user0,148929,1428345548,1428196619,0
36, closed, user0,148878,1428345592,1428196714,0
37, closed, user0,148871,1428345597,1428196726,0
38, closed, user0,148785,1428345544,1428196759,0
39, closed, user0,178366,1428375196,1428196830,0
40, closed, user0,141561,1428345854,1428204293,0
41, closed, user0,169665,1428375173,1428205508,1
42, closed, user0,42856,1428251257,1428208401,1
43, closed, user3,106163,1428345567,1428239404,1
44, closed, user0,94340,1428345575,1428251235,2
45, closed, user0,176315,1428439220,1428262905,4
46, closed, user3,67353,1428345624,1428278271,0
47, closed, user0,97188,1428442705,1428345517,0
48, closed, user0,852,1428350790,1428349938,0
